User Name,Workingdate,Effort,Project Code,Job task,Customer
Alice Tan,2025-03-27,8,PRJ100,PMA-routine,Acme
Alice Tan,2025-03-28,8,PRJ100,CMA fix,Acme
Alice Tan,2025-04-01,8,MFE-INTERNAL,Meeting/ Admin/ Support,Internal
Alice Tan,2025-04-02,8,PRJ100,Implementation IMP,Acme
Alice Tan,2025-04-03,8,PRJ100,"Dev,Imp,MA,WA",Acme
Bob Lee,2025-03-27,8,PRJ200,CMA fix,Globex
Bob Lee,2025-03-31,8,PRJ200,PMA-routine,Globex
Bob Lee,2025-04-01,8,PRJ200,Implementation IMP,Globex
Bob Lee,2025-04-02,4,MFE-STANDBY,Standby,Internal
Bob Lee,2025-04-02,4,PRJ201,Training session,Globex
Carol Ng,2025-03-28,8,PRJ300,Presales scoping,Initech
Carol Ng,2025-04-01,8,PRJ300,Presales scoping,Initech
Carol Ng,2025-04-03,8,PRJ301,Annual Leave,Initech
Carol Ng,2025-04-04,8,PRJ301,CMA fix,Initech
