User Name,Workingdate,Effort,Project Code,Job task,Customer
Alice Tan,2025-04-28,8,PRJ100,PMA-routine,Acme
Alice Tan,2025-04-29,8,PRJ100,CMA fix,Acme
Alice Tan,2025-05-02,8,PRJ100,Implementation IMP,Acme
Alice Tan,2025-05-05,8,MFE-INTERNAL,Meeting/ Admin/ Support,Internal
Bob Lee,2025-04-28,8,PRJ200,CMA fix,Globex
Bob Lee,2025-05-02,8,PRJ200,PMA-routine,Globex
Bob Lee,2025-05-05,4,MFE-STANDBY,Standby,Internal
Bob Lee,2025-05-05,4,PRJ201,Training session,Globex
Carol Ng,2025-04-30,8,PRJ300,Presales scoping,Initech
Carol Ng,2025-05-02,8,PRJ300,"Dev,Imp,MA,WA",Initech
Carol Ng,2025-05-06,8,PRJ301,Annual Leave,Initech
